frequency,Coherence
0.0,0.98626393
0.078125,0.98967636
0.15625,0.98331565
0.234375,0.9738977
0.3125,0.96840626
0.390625,0.938024
0.46875,0.8616871
0.546875,0.78940547
0.625,0.7569598
0.703125,0.7121512
0.78125,0.3471137
0.859375,0.08813
0.9375,0.065179884
1.015625,0.2493096
1.09375,0.6459188
1.171875,0.3745017
1.25,0.19200374
1.328125,0.6061218
1.40625,0.78131723
1.484375,0.5487521
1.5625,0.8111182
1.640625,0.8238435
1.71875,0.02940251
1.796875,0.21549176
1.875,0.6530529
1.953125,0.23414652
2.03125,0.14708528
2.109375,0.37263185
2.1875,0.40636435
2.265625,0.60795367
2.34375,0.05662641
2.421875,0.38696393
2.5,0.5008737
2.578125,0.7876924
2.65625,0.6964229
2.734375,0.5169428
2.8125,0.630107
2.890625,0.53719705
2.96875,0.36710757
3.046875,0.5383756
3.125,0.5577202
3.203125,0.6396857
3.28125,0.29024398
3.359375,0.086180165
3.4375,0.16346972
3.515625,0.44597125
3.59375,0.31438425
3.671875,0.30598533
3.75,0.3102688
3.828125,0.5063848
3.90625,0.34363553
3.984375,0.20048515
4.0625,0.008114915
4.140625,0.4227144
4.21875,0.5937709
4.296875,0.44494906
4.375,0.16265899
4.453125,0.3548714
4.53125,0.2840941
4.609375,0.11310954
4.6875,0.13944535
4.765625,0.096145436
4.84375,0.10342994
4.921875,0.1352458
5.0,0.019330738
5.078125,0.023406353
5.15625,0.28209794
5.234375,0.09636939
5.3125,0.044595473
5.390625,0.09956727
5.46875,0.1438149
5.546875,0.356141
5.625,0.3222452
5.703125,0.33433625
5.78125,0.25782004
5.859375,0.09870907
5.9375,0.10773728
6.015625,0.5897113
6.09375,0.47435328
6.171875,0.5341258
6.25,0.2722261
6.328125,0.17783652
6.40625,0.31762677
6.484375,0.37051278
6.5625,0.06999019
6.640625,0.3156678
6.71875,0.23032796
6.796875,0.23407012
6.875,0.38159034
6.953125,0.15159324
7.03125,0.058306716
7.109375,0.03515
7.1875,0.10864691
7.265625,0.1485609
7.34375,0.036491264
7.421875,0.030636206
7.5,0.030183826
7.578125,0.0026645921
7.65625,0.15899086
7.734375,0.24463287
7.8125,0.047142383
7.890625,0.024240965
7.96875,0.06706489
8.046875,0.16694926
8.125,0.0641243
8.203125,0.31209025
8.28125,0.114058435
8.359375,0.29780754
8.4375,0.22897132
8.515625,0.51843417
8.59375,0.34154704
8.671875,0.0067479657
8.75,0.1199823
8.828125,0.0671096
8.90625,0.11616945
8.984375,0.3858065
9.0625,0.005942475
9.140625,0.100012556
9.21875,0.032641396
9.296875,0.023183418
9.375,0.18961391
9.453125,0.12980944
9.53125,0.0
9.609375,0.0
9.6875,0.0
9.765625,0.0
9.84375,0.0
9.921875,0.0
10.0,0.0
